app_id,source,region,date,year,lat,lon,county,land_type,owner,product,active_ingredient,amount,unit,acres,method,activity,project,status,url,pulled
purcac:WEB2620580055:32M27N10E09,pur-cac-plumas,northern-sierra,10/24/2025,2025,40.213765,-120.862591,Plumas,forestry,32253200406,ROUNDUP PRO CONCENTRATE HERBICIDE,"GLYPHOSATE, ISOPROPYLAMINE SALT",350.5197,lbs,196.0,,,,completed,https://calpip.cdpr.ca.gov/,2026-07-22
purcac:WEB2520382758:32M27N10E04,pur-cac-plumas,northern-sierra,10/21/2025,2025,40.227682,-120.862605,Plumas,forestry,32253200406,ROUNDUP PRO CONCENTRATE HERBICIDE,"GLYPHOSATE, ISOPROPYLAMINE SALT",289.4268,lbs,208.2,,,,completed,https://calpip.cdpr.ca.gov/,2026-07-22
purcac:WEB2520382776:32M27N10E09,pur-cac-plumas,northern-sierra,10/22/2025,2025,40.213765,-120.862591,Plumas,forestry,32253200406,ROUNDUP PRO CONCENTRATE HERBICIDE,"GLYPHOSATE, ISOPROPYLAMINE SALT",60.1406,lbs,44.0,,,,completed,https://calpip.cdpr.ca.gov/,2026-07-22
purcac:WEB2520394313:32M21N08E04,pur-cac-plumas,northern-sierra,10/27/2025,2025,39.708389,-121.091002,Plumas,forestry,32253200530,MILESTONE,"AMINOPYRALID, TRIISOPROPANOLAMINE SALT",9.0378,lbs,60.0,,,,completed,https://calpip.cdpr.ca.gov/,2026-07-22
purcac:WEB2520394330:32M21N08E03,pur-cac-plumas,northern-sierra,10/27/2025,2025,39.708596,-121.072202,Plumas,forestry,32253200530,MILESTONE,"AMINOPYRALID, TRIISOPROPANOLAMINE SALT",12.2764,lbs,81.5,,,,completed,https://calpip.cdpr.ca.gov/,2026-07-22
purcac:WEB2520427138:32M27N06E12,pur-cac-plumas,northern-sierra,10/07/2025,2025,40.212008,-121.259974,Plumas,forestry,32253200406,ROUNDUP PRO CONCENTRATE HERBICIDE,"GLYPHOSATE, ISOPROPYLAMINE SALT",216.0051,lbs,138.0,,,,completed,https://calpip.cdpr.ca.gov/,2026-07-22
purcac:WEB2520427155:32M27N06E12,pur-cac-plumas,northern-sierra,10/08/2025,2025,40.212008,-121.259974,Plumas,forestry,32253200406,ROUNDUP PRO CONCENTRATE HERBICIDE,"GLYPHOSATE, ISOPROPYLAMINE SALT",155.8645,lbs,88.5,,,,completed,https://calpip.cdpr.ca.gov/,2026-07-22
purcac:WEB2520427164:32M27N06E12,pur-cac-plumas,northern-sierra,10/08/2025,2025,40.212008,-121.259974,Plumas,forestry,32253200406,ROUNDUP PRO CONCENTRATE HERBICIDE,"GLYPHOSATE, ISOPROPYLAMINE SALT",155.8645,lbs,88.5,,,,completed,https://calpip.cdpr.ca.gov/,2026-07-22
purcac:WEB2520427172:32M27N07E06,pur-cac-plumas,northern-sierra,10/09/2025,2025,40.226804,-121.241204,Plumas,forestry,32253200406,ROUNDUP PRO CONCENTRATE HERBICIDE,"GLYPHOSATE, ISOPROPYLAMINE SALT",251.8389,lbs,152.0,,,,completed,https://calpip.cdpr.ca.gov/,2026-07-22
purcac:WEB2520427181:32M27N06E09,pur-cac-plumas,northern-sierra,10/10/2025,2025,40.212143,-121.317366,Plumas,forestry,32253200406,ROUNDUP PRO CONCENTRATE HERBICIDE,"GLYPHOSATE, ISOPROPYLAMINE SALT",225.5274,lbs,157.0,,,,completed,https://calpip.cdpr.ca.gov/,2026-07-22
purcac:WEB2520472868:32M27N06E01,pur-cac-plumas,northern-sierra,10/10/2025,2025,40.226476,-121.260027,Plumas,forestry,32253200406,ROUNDUP PRO CONCENTRATE HERBICIDE,"GLYPHOSATE, ISOPROPYLAMINE SALT",93.9697,lbs,50.0,,,,completed,https://calpip.cdpr.ca.gov/,2026-07-22
