Regulating Agency	Water System Number	Water System Name	System Status	Federal Water System Classification	State Water System Classification	Principal County Served	Population Served	Service Connections	PS Code	Sampling Point Name	Facility Type	Facility Status	Sample Type	Sample Date	Sample Time	Analysis Date	ELAP Cert#	Lab Name	Analyte Code	Analyte Name	Result	Counting Error	Units of Measure	Less Than Reporting Level	Reporting Level	DLR	MCL	Method
DISTRICT 02 - LASSEN	CA3210009	CHESTER PUBLIC U.D.	A	C	C	PLUMAS	2187	1284	CA3210009_006_006	WELL 05	WL	A	RT	01-23-2019	10:29:00	01-27-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2980	1,2-DICHLOROETHANE			UG/L	Y	0.500000000	.5	.5	
LPA62 - PLUMAS COUNTY	CA3200207	PLUMAS SIERRA RURAL ELECTRIC PORTOLA	I	NTNC	NTNC	PLUMAS	25	2	CA3200207_002_002	WELL 02 (INSTALLED 2001)	WL	A	RT	04-09-2019	12:03:00	04-11-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2224	TRANS-1,3-DICHLOROPROPENE			UG/L	Y	0.500000000			
DISTRICT 02 - LASSEN	CA3210007	WEST ALMANOR M.W.C.	A	C	C	PLUMAS	1394	522	CA3210007_003_003	WELL 05	WL	A	RT	06-05-2019	10:39:00	06-06-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1040	NITRATE			MG/L	Y	0.400000000	.4	10	
LPA62 - PLUMAS COUNTY	CA3205003	GOLD MOUNTAIN CSD	A	C	C	PLUMAS	135	101	CA3205003_008_008	WELL 37 (INSTALLED 2019)	WL	A	RT	03-02-2020	16:00:00	03-04-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1028	IRON			UG/L	Y	100.000000000		300	
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_DST_LCR	LCR Tap Sample	DS	A	RT	08-04-2020	06:00:00	08-12-2020	1677	BASIC LABORATORY (REDDING)	1022	COPPER, FREE	0.112		MG/L		0.000000000	50		200.8
LPA62 - PLUMAS COUNTY	CA3200188	GREENHORN CREEK CSD	A	C	C	PLUMAS	280	136	CA3200188_DST_900	DBPR Sample	DS	A	RT	08-11-2020	11:23:00	08-18-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2941	CHLOROFORM			UG/L	Y	1.000000000	1		
DISTRICT 02 - LASSEN	CA3210007	WEST ALMANOR M.W.C.	A	C	C	PLUMAS	1394	522	CA3210007_002_002	WELL 06	WL	A	RT	06-12-2019	10:54:00	06-17-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1031	MAGNESIUM	26.0000000		MG/L	N	0.000000000			
DISTRICT 02 - LASSEN	CA3210005	GRAEAGLE WATER COMPANY	A	C	C	PLUMAS	737	944	CA3210005_DST_801	DBPR Sample	DS	A	RT	04-28-2020	08:05:00	05-08-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2943	BROMODICHLOROMETHANE	1.0000000		UG/L	N	1.000000000	1		
DISTRICT 02 - LASSEN	CA3210009	CHESTER PUBLIC U.D.	A	C	C	PLUMAS	2187	1284	CA3210009_006_006	WELL 05	WL	A	RT	10-02-2019	11:45:00	10-03-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2248	NAPHTHALENE			UG/L	Y	0.500000000			
DISTRICT 02 - LASSEN	CA3210009	CHESTER PUBLIC U.D.	A	C	C	PLUMAS	2187	1284	CA3210009_006_006	WELL 05	WL	A	RT	07-17-2019	09:30:00	07-22-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2994	ISOPROPYLBENZENE			UG/L	Y	0.500000000			
DISTRICT 02 - LASSEN	CA3210011	PLUMAS EUREKA CSD	A	C	C	PLUMAS	1534	557	CA3210011_DST_801	DBPR Sample	DS	A	RT	07-11-2019	12:24:00	07-20-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2941	CHLOROFORM	1.0000000		UG/L	N	1.000000000	1		
DISTRICT 02 - LASSEN	CA3210007	WEST ALMANOR M.W.C.	A	C	C	PLUMAS	1394	522	CA3210007_005_005	WELL 07	WL	A	RT	06-22-2021	10:33:00	06-30-2021	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2418	1,2,4-TRIMETHYLBENZENE			UG/L	Y	0.500000000			
DISTRICT 02 - LASSEN	CA3200022	CALTRANS-CHESTER SAFETY REST STOP	A	NC	NC	PLUMAS	120	1	CA3200022_001_001	WELL 01	WL	A	RT	07-11-2019	14:58:00	07-12-2019	2718	BASIC LABORATORY, INC (CHICO)	1041	NITRITE			MG/L	Y	0.400000000	.4	1	
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_016_016	WELL 04	WL	A	RT	10-06-2020	10:32:00	10-07-2020	2718	BASIC LABORATORY, INC (CHICO)	0100	TURBIDITY			NTU	Y	0.100000000		5	
