lat,lon,activity,year,status,acres,nepa_project,district,detail
40.2378,-120.7526,Invasives - Pesticide Application,2020,completed,0.8,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
39.9612,-121.2774,Invasives - Pesticide Application,2020,completed,,,,basic
40.0686,-121.1787,Invasives - Pesticide Application,2020,completed,2.9,(PALS)STORRIE AND RICH FIRE AREAS INVASIVE PLANT TREATMENT PROJECT,02,full
39.8198,-120.3885,Invasives - Pesticide Application,2020,completed,,,,basic
40.278,-120.6124,Invasives - Pesticide Application,2020,completed,24.0,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.1218,-120.6825,Invasives - Pesticide Application,2020,completed,,,,basic
40.2284,-120.64,Invasives - Pesticide Application,2020,completed,,,,basic
40.2536,-120.6703,Invasives - Pesticide Application,2020,completed,94.0,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.124,-120.643,Invasives - Pesticide Application,2020,completed,26.6,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.0102,-120.9916,Invasives - Pesticide Application,2020,completed,,,,basic
39.9369,-121.3201,Invasives - Pesticide Application,2020,completed,,,,basic
39.9393,-121.3134,Invasives - Pesticide Application,2020,completed,,,,basic
40.2419,-120.5791,Invasives - Pesticide Application,2020,completed,1.1,(PALS)WILDCAT FUELS REDUCTION AND VEGETATION MANAGEMENT PROJECT (WILDCAT PROJECT,02,full
39.8487,-121.3929,Invasives - Pesticide Application,2020,completed,,,,basic
39.8156,-120.385,Invasives - Pesticide Application,2020,completed,,,,basic
39.8149,-120.382,Invasives - Pesticide Application,2020,completed,2.4,(PALS)BECKWOURTH RANGER DISTRICT TALL WHITETOP PROJECT,01,full
39.8189,-120.4028,Invasives - Pesticide Application,2020,completed,1.8,(PALS)BECKWOURTH RANGER DISTRICT TALL WHITETOP PROJECT,01,full
39.8157,-120.383,Invasives - Pesticide Application,2020,completed,1.9,(PALS)BECKWOURTH RANGER DISTRICT TALL WHITETOP PROJECT,01,full
39.8186,-120.3848,Invasives - Pesticide Application,2020,completed,,,,basic
39.8149,-120.3835,Invasives - Pesticide Application,2020,completed,,,,basic
39.815,-120.4179,Invasives - Pesticide Application,2020,completed,,,,basic
39.8155,-120.4177,Invasives - Pesticide Application,2020,completed,,,,basic
39.8184,-120.4035,Invasives - Pesticide Application,2020,completed,17.3,(PALS)BECKWOURTH RANGER DISTRICT TALL WHITETOP PROJECT,01,full
40.1482,-120.6485,Invasives - Pesticide Application,2020,completed,0.1,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
39.8175,-120.3829,Invasives - Pesticide Application,2020,completed,,,,basic
40.1865,-120.7047,Invasives - Pesticide Application,2020,completed,7.8,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
39.8188,-120.3906,Invasives - Pesticide Application,2020,completed,1.2,(PALS)BECKWOURTH RANGER DISTRICT TALL WHITETOP PROJECT,01,full
39.818,-120.3873,Invasives - Pesticide Application,2020,completed,,,,basic
39.815,-120.4245,Invasives - Pesticide Application,2020,completed,,,,basic
39.8178,-120.3938,Invasives - Pesticide Application,2020,completed,,,,basic
