Permit #,Permitee,Site ID,Site Location,Site Name,Meridian,Township,Range,Section,Application Date,Application Time,Commodity Code,Commodity,EPA Reg No,Product Name,Quantity Used,Quantity Units,Treated Amount,Treated Units,Appl. Method,Applicator Name,Applicator License #,Applicator License Type
3200530.0,Sierra Pacific Industries Stirling City,21N07E24,,,M,21N,07E,24.0,2021-07-29,7:29 AM,30000-0,"FOREST, TMBRLND",62719-556-AA,ACCORD XRT II,6.0,Gallon,93.0,ACRES,Ground,RGZ Forestry LLC,40099.0,PCM
3200530.0,Sierra Pacific Industries Stirling City,21N07E24,,,M,21N,07E,24.0,2021-07-29,7:29 AM,30000-0,"FOREST, TMBRLND",34704-50029-AA,MSO CONCENTRATE,8.0,Gallon,93.0,ACRES,Ground,RGZ Forestry LLC,40099.0,PCM
3200530.0,Sierra Pacific Industries Stirling City,21N07E24,,,M,21N,07E,24.0,2021-07-29,7:29 AM,30000-0,"FOREST, TMBRLND",241-296-AA-228,POLARIS SP HERBICIDE,3.0,Gallon,93.0,ACRES,Ground,RGZ Forestry LLC,40099.0,PCM
3200530.0,Sierra Pacific Industries Stirling City,21N07E24,,,M,21N,07E,24.0,2021-07-29,7:29 AM,30000-0,"FOREST, TMBRLND",241-296-AA-228,POLARIS SP HERBICIDE,2.25,Gallon,96.0,ACRES,Ground,RGZ Forestry LLC,40099.0,PCM
3200530.0,Sierra Pacific Industries Stirling City,21N07E24,,,M,21N,07E,24.0,2021-07-29,7:29 AM,30000-0,"FOREST, TMBRLND",62719-556-AA,ACCORD XRT II,4.5,Gallon,96.0,ACRES,Ground,RGZ Forestry LLC,40099.0,PCM
3200530.0,Sierra Pacific Industries Stirling City,21N07E24,,,M,21N,07E,24.0,2021-07-29,7:29 AM,30000-0,"FOREST, TMBRLND",34704-50029-AA,MSO CONCENTRATE,6.0,Gallon,96.0,ACRES,Ground,RGZ Forestry LLC,40099.0,PCM
3200530.0,Sierra Pacific Industries Stirling City,21N07E24,,,M,21N,07E,24.0,2021-08-02,7:00 AM,30000-0,"FOREST, TMBRLND",34704-50029-AA,MSO CONCENTRATE,20.0,Gallon,18.39,ACRES,Ground,RGZ Forestry LLC,40099.0,PCM
3200530.0,Sierra Pacific Industries Stirling City,21N07E24,,,M,21N,07E,24.0,2021-08-02,7:00 AM,30000-0,"FOREST, TMBRLND",62719-556-AA,ACCORD XRT II,12.5,Gallon,18.39,ACRES,Ground,RGZ Forestry LLC,40099.0,PCM
3200530.0,Sierra Pacific Industries Stirling City,21N07E24,,,M,21N,07E,24.0,2021-08-02,7:00 AM,30000-0,"FOREST, TMBRLND",241-296-AA-228,POLARIS SP HERBICIDE,7.5,Gallon,18.39,ACRES,Ground,RGZ Forestry LLC,40099.0,PCM
3200530.0,Sierra Pacific Industries Stirling City,21N07E24,,,M,21N,07E,24.0,2021-08-04,7:00 AM,30000-0,"FOREST, TMBRLND",62719-556-AA,ACCORD XRT II,13.5,Gallon,96.0,ACRES,Ground,RGZ Forestry LLC,40099.0,PCM
3200530.0,Sierra Pacific Industries Stirling City,21N07E24,,,M,21N,07E,24.0,2021-08-04,7:00 AM,30000-0,"FOREST, TMBRLND",34704-50029-AA,MSO CONCENTRATE,18.0,Gallon,96.0,ACRES,Ground,RGZ Forestry LLC,40099.0,PCM
3200530.0,Sierra Pacific Industries Stirling City,21N07E24,,,M,21N,07E,24.0,2021-08-04,7:00 AM,30000-0,"FOREST, TMBRLND",81927-6-AA,ALLIGARE ROTARY 2 SL,6.75,Gallon,96.0,ACRES,Ground,RGZ Forestry LLC,40099.0,PCM
3200530.0,Sierra Pacific Industries Stirling City,21N07E13,,,M,21N,07E,13.0,2021-08-05,7:00 AM,30000-0,"FOREST, TMBRLND",62719-556-AA,ACCORD XRT II,2.13,Gallon,92.0,ACRES,Ground,RGZ Forestry LLC,40099.0,PCM
3200530.0,Sierra Pacific Industries Stirling City,21N07E13,,,M,21N,07E,13.0,2021-08-05,7:00 AM,30000-0,"FOREST, TMBRLND",81927-6-AA,ALLIGARE ROTARY 2 SL,1.28,Gallon,92.0,ACRES,Ground,RGZ Forestry LLC,40099.0,PCM
3200530.0,Sierra Pacific Industries Stirling City,21N07E13,,,M,21N,07E,13.0,2021-08-05,7:00 AM,30000-0,"FOREST, TMBRLND",34704-50029-AA,MSO CONCENTRATE,3.4,Gallon,92.0,ACRES,Ground,RGZ Forestry LLC,40099.0,PCM
3200530.0,Sierra Pacific Industries Stirling City,21N07E13,,,M,21N,07E,13.0,2021-08-06,7:00 AM,30000-0,"FOREST, TMBRLND",34704-50029-AA,MSO CONCENTRATE,42.0,Gallon,92.0,ACRES,Ground,RGZ Forestry LLC,40099.0,PCM
3200530.0,Sierra Pacific Industries Stirling City,21N07E13,,,M,21N,07E,13.0,2021-08-06,7:00 AM,30000-0,"FOREST, TMBRLND",62719-556-AA,ACCORD XRT II,31.5,Gallon,92.0,ACRES,Ground,RGZ Forestry LLC,40099.0,PCM
3200530.0,Sierra Pacific Industries Stirling City,21N07E13,,,M,21N,07E,13.0,2021-08-06,7:00 AM,30000-0,"FOREST, TMBRLND",81927-6-AA,ALLIGARE ROTARY 2 SL,15.75,Gallon,92.0,ACRES,Ground,RGZ Forestry LLC,40099.0,PCM
3200530.0,Sierra Pacific Industries Stirling City,21N07E23,,,M,21N,07E,23.0,2021-08-10,7:00 AM,30000-0,"FOREST, TMBRLND",62719-556-AA,ACCORD XRT II,36.0,Gallon,99.0,ACRES,Ground,RGZ Forestry LLC,40099.0,PCM
